Ethnic_Group,Departamento,TOWN (MUNICIPIO),CABECERAS  Y CENTROS POBLADOS (TOWNSHIPS AND MICROTOWNSHIPS),NAME OF THE COMMUNITY COUNCIL OR RESERVATION,NAME OF THE PEOPLE,RECOGNITION RESOLUTION,RECOGNITION DATE,LAND TITLE SITUATION,SOURCE (PUBLIC OFFICE OFFERS INFO),TITLING RESOLUTION,DATE TITLED,NUMBER OF FAMILIES,AREA (blocks?),NUMBER OF PEOPLE(CAN THIS BE CONNECTED WITH CENSUS?),,,,,
AFRO,BOLIVAR,CARTAGENA DE INDIAS,,,NOT INFORMED,NOT INFORMED,NOT INFORMED,NOT REQUESTED OR REQUEST LOST,DACNARP,,,,,,,,,,
AFRO,BOLIVAR,CARTAGENA DE INDIAS,CANO DEL ORO,Consejo comunitario de la comunidad negra de Cano del Oro,NOT INFORMED,NOT INFORMED,NOT INFORMED,TITLED,ANT,1963,12/6/2017,800,94.9474,3400,,,,,
AFRO,BOLIVAR,GUAMO,ROBLES,ROBLES ALMIRANTE PADILLA,NOT INFORMED,NOT INFORMED,NOT INFORMED,REQUESTED,ANT,,,,,,,,,,
AFRO,BOLIVAR,MAHATES,SAN BASILIO DE PALENQUE,MAKANKAMANA,NOT INFORMED,NOT INFORMED,NOT INFORMED,TITLED,ANT,466,3/30/2012,927,3353.9957,5307,,,,,
AFRO,BOLIVAR,MAHATES,GAMERO,Consejo Comunitario Comunidad Negra de,NOT INFORMED,NOT INFORMED,NOT INFORMED,REQUESTED,ANT,,,,,,,,,,
AFRO,BOLIVAR,MARGARITA,,BANTU,NOT INFORMED,NOT INFORMED,NOT INFORMED,REQUESTED,ANT,,,,,,,,,,
INDIGENA,BOLIVAR,MARIALABAJA,RETIRO NUEVO,NUEVO PORVENIR,ZENU,NOT INFORMED,NOT INFORMED,Information request unanswered,DAIRM,,,,,,,,,,
INDIGENA,BOLIVAR,MARIALABAJA,LA PISTA,LA PISTA,ZENU,NOT INFORMED,NOT INFORMED,Information request unanswered,DAIRM,,,,,,,,,,
AFRO,BOLIVAR,MARIALABAJA,"Flamenco, Nispero, Retironuevo, Hormigasa","Flamenco, Nispero, Retironuevo, Hormigasa",NOT INFORMED,NOT INFORMED,NOT INFORMED,NOT REQUESTED OR REQUEST LOST,DACNARP,,,,,,,,,,
AFRO,BOLIVAR,MONTECRISTO,,CONSEJO COMUNITARIO TARACHICA,NOT INFORMED,NOT INFORMED,NOT INFORMED,REQUESTED,ANT,,,,,,,,,,
AFRO,BOLIVAR,MONTECRISTO/ SANTA ROSA,,CC y Comunidades afro del ALTO CARIBONA,NOT INFORMED,NOT INFORMED,NOT INFORMED,REQUESTED,ANT,,,,,,,,,,
AFRO,BOLIVAR,MONTECRISTO/ SANTA ROSA,,CC y Comunidades afro del ALTO CARIBONA,NOT INFORMED,NOT INFORMED,NOT INFORMED,REQUESTED,ANT,,,,,,,,,REQUESTED,DIR. ASUNTOS ETNICOS AGENCIA NACIONAL TIERRAS
AFRO,BOLIVAR,SAN JACINTO,SAN ANTONIO,BENKOS BIOHO,NOT INFORMED,NOT INFORMED,NOT INFORMED,REQUESTED,ANT,,,,,,,,,,
AFRO,BOLIVAR,SAN JACINTO,,ELADIO ARIZA,NOT INFORMED,NOT INFORMED,NOT INFORMED,REQUESTED,ANT,,,,,,,,,,
AFRO,BOLIVAR,SAN JACINTO,,SANTO MADERO DEL PARAISO,NOT INFORMED,NOT INFORMED,NOT INFORMED,REQUESTED,ANT,,,,,,,,,,
AFRO,BOLIVAR,SANTA CATALINA,"SAN CRISTOBAL, Rivero, Solavanda, Arroyo de Matia, Paso de Cana","SAN CRISTOBAL, Rivero, Solavanda, Arroyo de Matia, Paso de Cana",NOT INFORMED,NOT INFORMED,NOT INFORMED,NOT REQUESTED OR REQUEST LOST,DACNARP,,,,,,,,,,
AFRO,BOLIVAR,SANTA CATALINA,AMANZAGUAPOS ,AMANZAGUAPOS ,NOT INFORMED,NOT INFORMED,NOT INFORMED,REQUESTED ,ANT,,,,,,,,,,
AFRO,BOLIVAR,SANTA CATALINA,GALERAZAMBA,GALERAZAMBA,NOT INFORMED,NOT INFORMED,NOT INFORMED,REQUESTED ,ANT,,,,,,,,,,
AFRO,BOLIVAR,SANTA LUCIA,"LOMARENA, PUEBLONUEVO, HOBO, SANTA CATALINA, COLORADO","LOMARENA, PUEBLONUEVO, HOBO, SANTA CATALINA, COLORADO",NOT INFORMED,NOT INFORMED,NOT INFORMED,NOT REQUESTED OR REQUEST LOST,DACNARP,,,,,,,,,,
AFRO,BOLIVAR,SANTA ROSA DEL SUR,,NELSON MANDELA,NOT INFORMED,NOT INFORMED,NOT INFORMED,REQUESTED,ANT,,,,,,,,,,
AFRO,BOLIVAR,TIQUISIO,,GUAMOCO,NOT INFORMED,NOT INFORMED,NOT INFORMED,REQUESTED,ANT,,,,,,,,,,
AFRO,BOLIVAR,TIQUISIO,,CONSEJO COMUNITARIO AFROCOLOMBIANO DE TIQUISIO,NOT INFORMED,NOT INFORMED,NOT INFORMED,REQUESTED,ANT,,,,,,,,,,
AFRO,BOLIVAR,TURBANA,,CC AFRODESCENDIENTE DE LOMAS DE MATUNILLA,NOT INFORMED,NOT INFORMED,NOT INFORMED,REQUESTED,ANT,,,,,,,,,,
AFRO,CESAR,BECERRIL,,JOSE PRUDENCIO PADILLA,NOT INFORMED,1,14-Jan-14,REQUESTED,"ANT, DACNARP",,,,,,,,,,
AFRO,CESAR,CHIMICHAGUA,GUACOCHE,LOS CARDONALES,NOT INFORMED,2,14-Jan-14,REQUESTED,"ANT, DACNARP",,,,,,,,,,
AFRO,CESAR,CHIRIGUANA ,,"ARCILLA, CARDON Y TUNA",NOT INFORMED,3,14-Jan-14,REQUESTED,"ANT, DACNARP",,,,,,,,,,
AFRO,CESAR,CHIRIGUANA/VALLEDUPAR,EL PERRO,CARLOTA REDONDO DE ALVAREZ,NOT INFORMED,5,14-Jan-14,REQUESTED,"ANT, DACNARP",,,,,,,,,,
AFRO,CESAR,CODAZZI,,MANUEL SALVADOR SUAREZ ALMENARES,NOT INFORMED,6,14-Jan-14,REQUESTED,"ANT, DACNARP",,,,,,,,,,
AFRO,CESAR,CODAZZI,LA LOMA DE CALENTURA,JULIO CESAR ALTAMAR MUNOZ,NOT INFORMED,7,1-Jan-14,REQUESTED,"ANT, DACNARP",,,,,,,,,,
AFRO,CESAR,CODAZZI,,MARCELINO OCHOA ALVAREZ CATELO,NOT INFORMED,8,15-Jan-14,REQUESTED,"ANT, DACNARP",,,,,,,,,,
AFRO,CESAR,CODAZZI,,LA PALMITA (COAFROPAL),NOT INFORMED,40,22-May-13,REQUESTED,"ANT, DACNARP",,,,,,,,,,
